left,top,height,width,type,value,group
664,146,42,268,field,nan,0
158,230,48,771,field,nan,0
230,305,45,267,field,nan,0
581,307,44,348,field,nan,0
63,1004,60,870,field,nan,0
63,1062,60,870,field,nan,0
63,1121,60,870,field,nan,0
63,1176,60,870,field,nan,0
723,1295,61,200,field,nan,0
901,914,26,26,radio,nan,0
823,914,26,26,radio,nan,0
746,914,26,26,radio,nan,0
668,914,26,26,radio,nan,0
583,914,26,26,radio,nan,0
901,786,26,26,radio,nan,0
824,786,26,26,radio,nan,0
747,786,26,26,radio,nan,0
669,786,26,26,radio,nan,0
583,786,26,26,radio,nan,0
901,711,26,26,radio,nan,0
823,711,26,26,radio,nan,0
746,711,26,26,radio,nan,0
668,711,26,26,radio,nan,0
583,711,26,26,radio,nan,0
901,638,26,26,radio,nan,0
823,638,26,26,radio,nan,0
746,638,26,26,radio,nan,0
668,638,26,26,radio,nan,0
583,638,26,26,radio,nan,0
906,573,26,26,radio,nan,0
829,573,26,26,radio,nan,0
751,573,26,26,radio,nan,0
674,573,26,26,radio,nan,0
588,573,26,26,radio,nan,0
80,430,35,57,checkbox,nan,0
644,434,27,47,checkbox,nan,0
365,437,27,47,checkbox,nan,0
80,484,35,57,checkbox,nan,0
365,488,27,47,checkbox,nan,0
586,178,14,43,label,Date,0
85,262,12,54,label,Name,0
85,339,12,130,label,Enrollmentnc,0
83,405,17,282,label,Whatdidyoulikeverymuch?,0
157,458,15,122,label,Environment,0
445,458,12,141,label,Administration,0
717,456,12,212,label,Attitudeofemployees,0
157,513,12,131,label,Infrastructure,0
443,511,12,207,label,TalentandInnovation,0
80,599,12,331,label,Ratesupportivenessofemployees.,0
75,664,12,434,label,Ratetheimpactofprojectscompanytsdoing.,0
75,737,14,370,label,Ratetheoverallexperienceofthevisit.,0
75,813,13,331,label,Ratequalityofprovidedresources.,0
75,877,17,653,label,Howmuchlikelydoyourecommendthecompanyfortheirservices?,0
761,1280,10,90,label,SignHere,0
