left,top,height,width,type,value,group
158,229,50,771,field,nan,0
229,307,43,268,field,nan,0
581,307,43,349,field,nan,0
60,1005,60,870,field,nan,0
62,1061,60,829,field,nan,0
61,1119,60,868,field,nan,0
60,1179,60,865,field,nan,0
722,1302,62,201,field,nan,0
901,914,26,26,radio,nan,0
823,914,26,26,radio,nan,0
746,914,26,26,radio,nan,0
669,914,26,26,radio,nan,0
583,914,26,26,radio,nan,0
900,787,27,27,radio,nan,0
823,787,26,26,radio,nan,0
746,787,26,26,radio,nan,0
668,787,26,26,radio,nan,0
583,787,26,26,radio,nan,0
900,711,27,27,radio,nan,0
823,711,27,27,radio,nan,0
746,711,27,27,radio,nan,0
668,711,27,27,radio,nan,0
583,711,27,27,radio,nan,0
900,639,26,26,radio,nan,0
823,639,26,26,radio,nan,0
746,639,26,26,radio,nan,0
668,639,26,26,radio,nan,0
583,639,27,27,radio,nan,0
905,573,27,27,radio,nan,0
828,573,26,26,radio,nan,0
751,573,27,27,radio,nan,0
673,573,26,26,radio,nan,0
588,573,27,27,radio,nan,0
645,435,26,45,checkbox,nan,0
85,436,25,46,checkbox,nan,0
365,439,25,47,checkbox,nan,0
85,490,26,46,checkbox,nan,0
365,490,26,47,checkbox,nan,0
84,262,12,56,label,Name:,0
84,339,12,130,label,Enrollmentnc,0
512,337,17,54,label,Email:,0
82,406,18,283,label,Whatdidyoulikeverymuch?,0
157,459,16,122,label,Environment,0
445,459,13,141,label,Administration,0
716,456,12,213,label,Attitudeofemployees,0
157,513,12,131,label,Infrastructure,0
442,512,13,209,label,TalentandInnovation,0
79,600,13,332,label,Ratesupportivenessofemployees.,0
75,665,12,434,label,Ratetheimpatofprojectscompanyisdoing.,0
75,738,16,371,label,Ratetheoverallexperienceofthevisit.,0
75,813,12,331,label,Ratequalityofprovidedresources.,0
75,878,17,653,label,Howmuchlikelydoyourecommendthecompanyfortheirservices?,0
84,990,5,273,label,Anuenncterietionsummations,0
760,1285,12,91,label,SignHere,0
